epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,68.9917,0.88045,0.93652,0.99949,0.18628,0.000277186,0.000277186,0.000277186
2,136.012,0.24008,0.95498,1,0.13432,0.000536543,0.000536543,0.000536543
3,204.853,0.18234,0.96232,1,0.11242,0.000777573,0.000777573,0.000777573
4,277.138,0.14905,0.97117,1,0.07463,0.000750533,0.000750533,0.000750533
5,344.946,0.10998,0.98331,0.99975,0.04697,0.000723044,0.000723044,0.000723044
6,412.003,0.09032,0.98685,1,0.04214,0.000695555,0.000695555,0.000695555
7,479.663,0.07455,0.9871,1,0.0384,0.000668066,0.000668066,0.000668066
8,547.221,0.06433,0.99241,1,0.02723,0.000640577,0.000640577,0.000640577
9,615.585,0.0574,0.98938,1,0.03344,0.000613088,0.000613088,0.000613088
10,683.162,0.05124,0.99545,1,0.01886,0.000585599,0.000585599,0.000585599
11,749.39,0.04892,0.99393,1,0.01811,0.00055811,0.00055811,0.00055811
12,816.18,0.04432,0.99267,1,0.02213,0.000530621,0.000530621,0.000530621
13,883.706,0.03783,0.99494,1,0.01653,0.000503132,0.000503132,0.000503132
14,951.082,0.03323,0.99418,1,0.0243,0.000475643,0.000475643,0.000475643
15,1017.22,0.03411,0.99064,0.99975,0.02635,0.000448154,0.000448154,0.000448154
16,1083.99,0.03175,0.99444,1,0.01958,0.000420665,0.000420665,0.000420665
17,1150.16,0.02888,0.99545,1,0.01493,0.000393176,0.000393176,0.000393176
18,1217.52,0.02419,0.99342,1,0.01989,0.000365687,0.000365687,0.000365687
19,1283.78,0.02422,0.9957,1,0.01735,0.000338198,0.000338198,0.000338198
20,1350.55,0.02279,0.99444,1,0.02229,0.000310709,0.000310709,0.000310709
21,1445.22,0.02145,0.99545,1,0.01476,0.00028322,0.00028322,0.00028322
22,1511.9,0.02118,0.9957,1,0.01455,0.000255731,0.000255731,0.000255731
23,1579.19,0.01497,0.99545,1,0.01259,0.000228242,0.000228242,0.000228242
24,1646.92,0.01402,0.99671,1,0.0131,0.000200753,0.000200753,0.000200753
25,1712.54,0.01309,0.99519,0.99975,0.01197,0.000173264,0.000173264,0.000173264
26,1778.98,0.0132,0.99646,0.99975,0.01142,0.000145775,0.000145775,0.000145775
27,1845.93,0.01173,0.99671,1,0.01038,0.000118286,0.000118286,0.000118286
28,1912.81,0.01221,0.99621,0.99975,0.01219,9.0797e-05,9.0797e-05,9.0797e-05
29,1982.88,0.0094,0.99722,1,0.01126,6.3308e-05,6.3308e-05,6.3308e-05
30,2054.23,0.01034,0.99722,1,0.00928,3.5819e-05,3.5819e-05,3.5819e-05
