epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.5661,1.60391,2.82969,1.81655,0.24041,0.36405,0.22233,0.10526,1.77116,2.77326,1.96207,0.000366077,0.000366077,0.000366077
2,46.3426,1.54489,2.3121,1.74556,0.17109,0.35735,0.19298,0.08479,1.88197,3.51909,2.19379,0.000721829,0.000721829,0.000721829
3,68.7964,1.57236,2.21485,1.7582,0.27646,0.33629,0.23998,0.11226,1.9437,2.50126,2.24445,0.00106292,0.00106292,0.00106292
4,91.3114,1.60024,2.20689,1.78848,0.26711,0.34986,0.27039,0.12904,2.10194,2.43677,2.24209,0.00104501,0.00104501,0.00104501
5,113.754,1.53691,2.10276,1.75652,0.43957,0.46517,0.40105,0.20028,1.72192,2.15539,1.99119,0.00102301,0.00102301,0.00102301
6,136.298,1.53255,2.0201,1.73415,0.47942,0.44437,0.4319,0.22455,1.64382,1.91428,1.93713,0.00100101,0.00100101,0.00100101
7,158.722,1.47888,1.92293,1.68559,0.48705,0.4867,0.49097,0.2542,1.67359,1.78889,1.96141,0.000979013,0.000979013,0.000979013
8,181.266,1.46162,1.90248,1.70837,0.47597,0.46801,0.4497,0.24273,1.60162,2.0189,1.88132,0.000957015,0.000957015,0.000957015
9,203.712,1.4252,1.82199,1.65438,0.60465,0.50964,0.53743,0.31086,1.52863,1.72018,1.79918,0.000935018,0.000935018,0.000935018
10,226.303,1.40459,1.77303,1.65644,0.50247,0.50911,0.49332,0.27838,1.53774,1.7723,1.84395,0.00091302,0.00091302,0.00091302
11,248.78,1.40711,1.76543,1.65472,0.56426,0.5541,0.57885,0.32074,1.51577,1.54612,1.81004,0.000891022,0.000891022,0.000891022
12,271.454,1.37773,1.75788,1.63741,0.60218,0.56739,0.60735,0.35308,1.45748,1.51696,1.74879,0.000869024,0.000869024,0.000869024
13,293.597,1.36272,1.66615,1.61248,0.61188,0.54676,0.60595,0.3519,1.48019,1.5842,1.77336,0.000847026,0.000847026,0.000847026
14,315.795,1.37339,1.63746,1.63515,0.67637,0.56046,0.64063,0.36275,1.51914,1.45348,1.80195,0.000825029,0.000825029,0.000825029
15,337.996,1.3372,1.62487,1.60705,0.61396,0.61541,0.6521,0.40049,1.41237,1.39109,1.69814,0.000803031,0.000803031,0.000803031
16,360.132,1.30936,1.52,1.57785,0.6076,0.58653,0.63565,0.38216,1.43056,1.50942,1.75344,0.000781033,0.000781033,0.000781033
17,382.313,1.29991,1.5348,1.57261,0.65139,0.57982,0.64097,0.38984,1.41445,1.41349,1.6849,0.000759035,0.000759035,0.000759035
18,404.557,1.28449,1.5021,1.56643,0.65557,0.63679,0.68827,0.41787,1.38451,1.28663,1.72461,0.000737037,0.000737037,0.000737037
19,426.724,1.29483,1.4872,1.5506,0.62107,0.60545,0.63494,0.3937,1.39693,1.41327,1.67739,0.00071504,0.00071504,0.00071504
20,448.917,1.28442,1.42917,1.54619,0.64581,0.63587,0.70022,0.43204,1.37594,1.28754,1.6862,0.000693042,0.000693042,0.000693042
21,471.263,1.25599,1.41376,1.54656,0.6314,0.66482,0.69534,0.43416,1.33689,1.24089,1.65136,0.000671044,0.000671044,0.000671044
