epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.5478,0.98748,1.96128,1.37092,0.6418,0.69465,0.73671,0.60188,0.6483,1.5242,1.15035,0.000366997,0.000366997,0.000366997
2,59.0386,0.88904,1.2286,1.25186,0.71178,0.81763,0.79827,0.62207,0.7666,1.32657,1.27718,0.000722731,0.000722731,0.000722731
3,87.4873,0.92827,1.18328,1.26772,0.61354,0.70583,0.69793,0.48224,0.88897,1.80149,1.34191,0.0010638,0.0010638,0.0010638
4,115.726,0.90075,1.13142,1.24853,0.73773,0.81355,0.81422,0.67197,0.69706,1.11907,1.18542,0.00104501,0.00104501,0.00104501
5,144.424,0.88125,1.06045,1.23781,0.76282,0.81042,0.8124,0.67629,0.60233,0.76657,1.10111,0.00102301,0.00102301,0.00102301
6,172.84,0.85432,0.99608,1.21445,0.80149,0.81018,0.86635,0.72501,0.61098,0.90333,1.10924,0.00100101,0.00100101,0.00100101
7,202.179,0.79869,0.9242,1.1764,0.79821,0.8436,0.90873,0.77154,0.5706,0.68739,1.07113,0.000979013,0.000979013,0.000979013
8,230.453,0.8014,0.9013,1.18425,0.78361,0.65453,0.7599,0.63401,0.5979,1.1181,1.09821,0.000957015,0.000957015,0.000957015
9,258.949,0.805,0.90966,1.18532,0.84586,0.80941,0.9164,0.80267,0.51743,0.70946,1.02333,0.000935018,0.000935018,0.000935018
10,287.287,0.77854,0.85358,1.16812,0.73499,0.77302,0.83208,0.72833,0.50575,0.99699,1.00936,0.00091302,0.00091302,0.00091302
11,315.641,0.76904,0.85295,1.16561,0.85356,0.85627,0.9176,0.7932,0.53394,0.67727,1.02314,0.000891022,0.000891022,0.000891022
12,345.969,0.76733,0.80256,1.16611,0.8257,0.86386,0.92028,0.80668,0.51378,0.60344,1.02151,0.000869024,0.000869024,0.000869024
13,374.32,0.73964,0.79379,1.15082,0.77316,0.80615,0.90446,0.79715,0.49404,0.72613,0.9981,0.000847026,0.000847026,0.000847026
14,402.634,0.70496,0.75584,1.11929,0.83383,0.83768,0.90167,0.80362,0.47955,0.63271,0.99637,0.000825029,0.000825029,0.000825029
15,431.155,0.71008,0.74829,1.12806,0.88797,0.84352,0.92275,0.8163,0.49548,0.55297,1.00743,0.000803031,0.000803031,0.000803031
16,461.157,0.69467,0.73721,1.12064,0.92348,0.85083,0.94337,0.84189,0.48053,0.49247,0.99183,0.000781033,0.000781033,0.000781033
17,489.522,0.6887,0.74267,1.12266,0.8949,0.88425,0.9511,0.8536,0.47588,0.48192,0.99,0.000759035,0.000759035,0.000759035
18,518.54,0.68257,0.70587,1.10623,0.92179,0.89227,0.94874,0.86093,0.44515,0.45172,0.96609,0.000737037,0.000737037,0.000737037
19,546.9,0.67161,0.69252,1.10187,0.91817,0.89452,0.95006,0.86297,0.45264,0.43999,0.96962,0.00071504,0.00071504,0.00071504
20,575.223,0.65764,0.67633,1.09189,0.90435,0.91352,0.95052,0.86547,0.43227,0.43745,0.94813,0.000693042,0.000693042,0.000693042
21,603.492,0.66252,0.68157,1.10108,0.86088,0.86313,0.92372,0.82871,0.45862,0.57003,0.98067,0.000671044,0.000671044,0.000671044
22,631.78,0.65102,0.65812,1.0915,0.83733,0.8973,0.92134,0.83787,0.43033,0.52676,0.9499,0.000649046,0.000649046,0.000649046
23,659.955,0.63928,0.62707,1.08094,0.89455,0.89222,0.94227,0.86673,0.4169,0.47118,0.94225,0.000627048,0.000627048,0.000627048
24,688.27,0.64966,0.6592,1.09238,0.85827,0.87769,0.9291,0.84944,0.41787,0.51015,0.94071,0.000605051,0.000605051,0.000605051
25,716.456,0.63261,0.63762,1.08612,0.92374,0.88946,0.94168,0.85512,0.44165,0.45116,0.96199,0.000583053,0.000583053,0.000583053
26,744.823,0.63507,0.62707,1.08473,0.94189,0.86982,0.95577,0.88162,0.41428,0.40168,0.94153,0.000561055,0.000561055,0.000561055
27,773.262,0.63277,0.62921,1.08158,0.88853,0.88758,0.95051,0.87702,0.40528,0.43335,0.93193,0.000539057,0.000539057,0.000539057
28,801.639,0.61891,0.61055,1.07786,0.9043,0.92251,0.95617,0.88395,0.40098,0.39183,0.92778,0.000517059,0.000517059,0.000517059
29,829.902,0.60934,0.59619,1.0665,0.87055,0.8648,0.93629,0.86169,0.40536,0.53104,0.92761,0.000495062,0.000495062,0.000495062
30,858.288,0.60291,0.58482,1.06559,0.93462,0.88813,0.95414,0.87944,0.40675,0.40784,0.93122,0.000473064,0.000473064,0.000473064
31,886.485,0.60401,0.58443,1.05966,0.92684,0.87105,0.94981,0.88179,0.39803,0.42219,0.92047,0.000451066,0.000451066,0.000451066
32,914.756,0.58269,0.5679,1.04729,0.88825,0.92175,0.9483,0.87305,0.39989,0.40394,0.92545,0.000429068,0.000429068,0.000429068
33,943.142,0.58515,0.55542,1.06171,0.92084,0.9116,0.95188,0.88511,0.38914,0.37588,0.92193,0.00040707,0.00040707,0.00040707
34,971.453,0.58894,0.57726,1.05893,0.943,0.88455,0.95068,0.88431,0.39431,0.40403,0.91636,0.000385073,0.000385073,0.000385073
35,999.71,0.57539,0.53719,1.05055,0.91192,0.92962,0.9487,0.88043,0.37793,0.37849,0.91075,0.000363075,0.000363075,0.000363075
36,1027.88,0.57748,0.55907,1.06019,0.95027,0.88346,0.96108,0.89916,0.37312,0.36864,0.90869,0.000341077,0.000341077,0.000341077
37,1056.59,0.57209,0.54674,1.05232,0.92944,0.89681,0.95487,0.88813,0.37223,0.38661,0.90953,0.000319079,0.000319079,0.000319079
38,1085.48,0.56986,0.54686,1.0518,0.93782,0.90336,0.95725,0.90041,0.37506,0.37209,0.91288,0.000297081,0.000297081,0.000297081
39,1113.86,0.55365,0.5193,1.03262,0.92201,0.93642,0.95446,0.89954,0.36387,0.3554,0.90396,0.000275084,0.000275084,0.000275084
40,1142.09,0.55294,0.53889,1.04698,0.93973,0.8826,0.94788,0.89015,0.36086,0.38878,0.90003,0.000253086,0.000253086,0.000253086
41,1189.17,0.36544,0.37433,0.90076,0.94127,0.87898,0.95179,0.89462,0.36596,0.38323,0.90739,0.000231088,0.000231088,0.000231088
42,1217.15,0.35621,0.32237,0.89923,0.89989,0.93616,0.96173,0.90852,0.35587,0.3474,0.89991,0.00020909,0.00020909,0.00020909
43,1248.97,0.34229,0.31394,0.88862,0.92053,0.91164,0.96646,0.91343,0.35458,0.33618,0.89823,0.000187092,0.000187092,0.000187092
44,1276.95,0.33303,0.30403,0.88014,0.93796,0.90477,0.95821,0.91073,0.34511,0.33978,0.89374,0.000165095,0.000165095,0.000165095
45,1305.45,0.32923,0.28765,0.88229,0.93872,0.9171,0.96203,0.91637,0.33948,0.3277,0.88875,0.000143097,0.000143097,0.000143097
46,1334.75,0.3255,0.28472,0.87827,0.92918,0.93074,0.96232,0.91731,0.34015,0.33043,0.88699,0.000121099,0.000121099,0.000121099
47,1363.22,0.31845,0.26936,0.86834,0.92026,0.93696,0.95987,0.91503,0.33676,0.34039,0.88676,9.91012e-05,9.91012e-05,9.91012e-05
48,1390.55,0.30522,0.25534,0.86514,0.92724,0.93238,0.96157,0.9176,0.33214,0.33063,0.88377,7.71034e-05,7.71034e-05,7.71034e-05
49,1418.13,0.30377,0.25596,0.86266,0.93128,0.92534,0.96199,0.91976,0.32959,0.32819,0.88179,5.51056e-05,5.51056e-05,5.51056e-05
50,1445.84,0.29589,0.24684,0.85816,0.9302,0.92645,0.96351,0.92231,0.32588,0.32756,0.87907,3.31078e-05,3.31078e-05,3.31078e-05
