epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3882,1.44989,3.62124,1.82194,0.56224,0.49609,0.53289,0.3082,1.43218,2.25811,2.13626,0.00032971,0.00032971,0.00032971
2,49.5709,1.36204,1.84262,1.69169,0.5558,0.42064,0.38692,0.22367,1.60745,2.78291,2.26126,0.000649915,0.000649915,0.000649915
3,73.6986,1.45578,1.8726,1.78176,0.40642,0.56593,0.48976,0.27816,1.70332,1.80925,2.35723,0.00095692,0.00095692,0.00095692
4,97.714,1.45402,1.85275,1.77834,0.62077,0.49441,0.49611,0.301,1.57713,1.67981,2.15496,0.0009406,0.0009406,0.0009406
5,121.748,1.4045,1.71688,1.75302,0.41136,0.51935,0.48038,0.27655,1.67131,1.75101,2.25463,0.0009208,0.0009208,0.0009208
6,145.763,1.39102,1.68693,1.73541,0.61409,0.56486,0.5837,0.34313,1.57398,1.54586,2.14005,0.000901,0.000901,0.000901
7,169.869,1.33065,1.62146,1.68745,0.6767,0.5376,0.59377,0.36444,1.4576,1.45304,2.01054,0.0008812,0.0008812,0.0008812
8,193.883,1.28588,1.52529,1.64713,0.65822,0.56878,0.60538,0.36561,1.5342,1.50876,2.09866,0.0008614,0.0008614,0.0008614
9,217.926,1.29507,1.4946,1.6415,0.60438,0.62158,0.62643,0.41138,1.36886,1.34296,1.93486,0.0008416,0.0008416,0.0008416
10,242.064,1.25382,1.43986,1.61716,0.59334,0.68763,0.65378,0.42107,1.39303,1.30278,1.91473,0.0008218,0.0008218,0.0008218
11,266.105,1.24186,1.42867,1.60897,0.62675,0.65588,0.66212,0.42847,1.35011,1.28515,1.86064,0.000802,0.000802,0.000802
12,290.122,1.25488,1.42419,1.60731,0.62737,0.58046,0.63083,0.38148,1.41971,1.44445,1.9389,0.0007822,0.0007822,0.0007822
13,314.121,1.22217,1.4087,1.59657,0.64943,0.69747,0.73243,0.47646,1.30001,1.16726,1.82831,0.0007624,0.0007624,0.0007624
14,338.152,1.19749,1.36278,1.57237,0.67391,0.70196,0.73905,0.48806,1.23215,1.17956,1.75717,0.0007426,0.0007426,0.0007426
15,362.247,1.18739,1.30489,1.56218,0.69345,0.7254,0.78456,0.52332,1.25464,1.1107,1.7879,0.0007228,0.0007228,0.0007228
16,386.258,1.2157,1.32634,1.58508,0.68678,0.75424,0.78011,0.53107,1.21124,1.09437,1.73916,0.000703,0.000703,0.000703
17,410.253,1.16549,1.24097,1.53605,0.72872,0.69462,0.75308,0.50316,1.19102,1.08643,1.6973,0.0006832,0.0006832,0.0006832
18,434.307,1.15222,1.24123,1.54344,0.73776,0.75446,0.78287,0.52447,1.23581,1.05467,1.75974,0.0006634,0.0006634,0.0006634
19,458.242,1.14405,1.23799,1.54464,0.67023,0.7933,0.78865,0.52618,1.24457,1.07221,1.80015,0.0006436,0.0006436,0.0006436
20,482.209,1.15837,1.22757,1.54097,0.74638,0.75317,0.80309,0.53592,1.21859,1.00692,1.7349,0.0006238,0.0006238,0.0006238
21,506.24,1.12591,1.18524,1.51275,0.78022,0.77517,0.82599,0.54799,1.20993,1.02578,1.71094,0.000604,0.000604,0.000604
22,530.214,1.09643,1.15332,1.49286,0.80802,0.74233,0.82336,0.56737,1.16248,0.94936,1.68752,0.0005842,0.0005842,0.0005842
23,554.234,1.10791,1.1671,1.50714,0.80072,0.73275,0.81792,0.55035,1.23616,0.94744,1.74777,0.0005644,0.0005644,0.0005644
24,578.193,1.09611,1.14275,1.4911,0.80391,0.78233,0.81779,0.5767,1.16014,0.94777,1.66467,0.0005446,0.0005446,0.0005446
25,602.159,1.065,1.10206,1.46435,0.82264,0.72718,0.79975,0.55207,1.1367,0.93393,1.66694,0.0005248,0.0005248,0.0005248
26,626.07,1.03765,1.08111,1.45625,0.78251,0.72671,0.80377,0.56576,1.12659,0.92704,1.62969,0.000505,0.000505,0.000505
27,649.98,1.06471,1.08929,1.47963,0.77863,0.77729,0.82488,0.58485,1.12721,0.90851,1.64706,0.0004852,0.0004852,0.0004852
28,674.069,1.05804,1.08463,1.45992,0.76104,0.78568,0.81234,0.5755,1.12978,0.88318,1.63718,0.0004654,0.0004654,0.0004654
29,697.984,1.04769,1.0836,1.47808,0.79717,0.75652,0.81461,0.57848,1.12508,0.91505,1.63859,0.0004456,0.0004456,0.0004456
30,721.918,1.04008,1.02712,1.43701,0.85509,0.78582,0.8498,0.61391,1.1036,0.85673,1.61152,0.0004258,0.0004258,0.0004258
31,745.842,1.0077,1.01607,1.43324,0.79902,0.75564,0.80667,0.57144,1.10262,0.87426,1.58954,0.000406,0.000406,0.000406
32,769.757,1.02775,1.01535,1.42937,0.79812,0.80948,0.84438,0.60234,1.10054,0.89065,1.60539,0.0003862,0.0003862,0.0003862
33,793.693,1.01154,0.98781,1.41849,0.78422,0.78819,0.82606,0.59508,1.09184,0.84768,1.58787,0.0003664,0.0003664,0.0003664
34,817.567,1.00707,0.97133,1.41999,0.81751,0.78071,0.83826,0.59826,1.14421,0.85837,1.6124,0.0003466,0.0003466,0.0003466
35,841.54,0.98423,0.95256,1.40415,0.8269,0.80097,0.85835,0.61993,1.08805,0.81445,1.57017,0.0003268,0.0003268,0.0003268
36,865.579,0.98446,0.96519,1.40223,0.79972,0.77211,0.83505,0.60849,1.07061,0.82632,1.55662,0.000307,0.000307,0.000307
37,889.467,0.96183,0.90794,1.37913,0.83119,0.80501,0.85256,0.6338,1.05496,0.80759,1.55472,0.0002872,0.0002872,0.0002872
38,913.431,0.98353,0.92211,1.39876,0.8207,0.77072,0.84047,0.61666,1.06079,0.79893,1.55027,0.0002674,0.0002674,0.0002674
39,938.012,0.94183,0.87635,1.36691,0.80928,0.80991,0.84696,0.6201,1.05164,0.80242,1.54541,0.0002476,0.0002476,0.0002476
40,963.532,0.93256,0.88257,1.36819,0.80049,0.80127,0.85544,0.62679,1.05102,0.78885,1.54188,0.0002278,0.0002278,0.0002278
41,1006.41,0.82733,0.70401,1.35704,0.75548,0.83021,0.84317,0.62011,1.04873,0.77118,1.5427,0.000208,0.000208,0.000208
42,1030.08,0.80416,0.62417,1.3376,0.80673,0.8152,0.84844,0.61075,1.06712,0.75179,1.55026,0.0001882,0.0001882,0.0001882
43,1053.78,0.77378,0.59035,1.32091,0.83614,0.81314,0.85137,0.62675,1.04319,0.749,1.53343,0.0001684,0.0001684,0.0001684
44,1077.57,0.76696,0.57548,1.31989,0.804,0.83308,0.8452,0.62158,1.03977,0.77369,1.53739,0.0001486,0.0001486,0.0001486
