epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.3076,1.65297,3.01573,1.7246,0.63709,0.32767,0.32807,0.20382,1.87948,2.74387,1.92888,0.000366936,0.000366936,0.000366936
2,77.6172,1.62438,2.2365,1.69946,0.23784,0.27998,0.2532,0.1443,2.26113,2.88761,2.2287,0.000722671,0.000722671,0.000722671
3,115.651,1.62974,2.13965,1.68716,0.32266,0.47011,0.33536,0.18434,2.00902,2.53171,2.10075,0.00106374,0.00106374,0.00106374
4,153.598,1.62006,2.08003,1.67664,0.53982,0.33507,0.34569,0.20679,2.00595,2.36675,2.01846,0.00104501,0.00104501,0.00104501
5,191.544,1.53174,1.9761,1.6303,0.48366,0.43742,0.42931,0.21801,1.96645,2.15085,1.99872,0.00102301,0.00102301,0.00102301
6,229.537,1.55397,1.93559,1.62488,0.50322,0.44076,0.45666,0.22303,1.93893,2.00746,1.95025,0.00100101,0.00100101,0.00100101
7,267.52,1.54022,1.91068,1.61375,0.59091,0.46975,0.49649,0.28673,1.76705,1.94863,1.81573,0.000979013,0.000979013,0.000979013
8,305.499,1.45247,1.8123,1.57258,0.62544,0.51843,0.56437,0.3205,1.78289,1.73563,1.80779,0.000957015,0.000957015,0.000957015
9,343.46,1.45459,1.79142,1.57871,0.58693,0.48447,0.49358,0.28962,1.71784,1.81533,1.78157,0.000935018,0.000935018,0.000935018
10,381.398,1.39753,1.72442,1.52617,0.56281,0.50788,0.52764,0.33235,1.60456,1.84488,1.64121,0.00091302,0.00091302,0.00091302
11,461.697,1.37912,1.70232,1.5258,0.69145,0.4673,0.52726,0.29318,1.76953,1.69302,1.76444,0.000891022,0.000891022,0.000891022
12,505.208,1.38014,1.67015,1.51563,0.40785,0.51058,0.47002,0.26114,1.7926,1.85854,1.79516,0.000869024,0.000869024,0.000869024
13,543.081,1.38843,1.65492,1.50561,0.59372,0.52633,0.52916,0.29977,1.73882,1.75854,1.72943,0.000847026,0.000847026,0.000847026
14,580.956,1.34145,1.60544,1.48356,0.56027,0.61427,0.55154,0.32973,1.63604,1.56183,1.67742,0.000825029,0.000825029,0.000825029
15,618.856,1.3289,1.58085,1.45945,0.50967,0.52138,0.50314,0.29451,1.72777,1.78094,1.73548,0.000803031,0.000803031,0.000803031
16,656.7,1.29729,1.56465,1.46569,0.56461,0.61966,0.58391,0.36439,1.61315,1.54233,1.66265,0.000781033,0.000781033,0.000781033
17,694.621,1.35259,1.55601,1.48899,0.60328,0.52869,0.55878,0.33268,1.72199,1.6839,1.76577,0.000759035,0.000759035,0.000759035
18,732.562,1.28905,1.49824,1.4427,0.55598,0.56647,0.55882,0.32839,1.69703,1.51887,1.74078,0.000737037,0.000737037,0.000737037
19,770.5,1.29315,1.45138,1.43576,0.65262,0.58236,0.59538,0.35493,1.60246,1.51949,1.63222,0.00071504,0.00071504,0.00071504
20,808.418,1.27117,1.46328,1.43874,0.64286,0.54706,0.5647,0.33494,1.65925,1.56569,1.70006,0.000693042,0.000693042,0.000693042
21,846.034,1.23323,1.41881,1.41796,0.61812,0.57233,0.58021,0.33723,1.63599,1.54982,1.6838,0.000671044,0.000671044,0.000671044
22,883.688,1.23907,1.43759,1.42104,0.6752,0.57615,0.62026,0.37435,1.61973,1.47306,1.6685,0.000649046,0.000649046,0.000649046
23,921.426,1.2304,1.38678,1.41261,0.59528,0.57387,0.57176,0.33578,1.59089,1.53282,1.65338,0.000627048,0.000627048,0.000627048
24,959.073,1.24298,1.38429,1.42031,0.61955,0.62512,0.59582,0.35493,1.57968,1.4474,1.64719,0.000605051,0.000605051,0.000605051
25,996.715,1.2018,1.38568,1.40146,0.6031,0.57482,0.58832,0.35228,1.62579,1.45234,1.67401,0.000583053,0.000583053,0.000583053
26,1034.42,1.22319,1.38653,1.40877,0.64809,0.58668,0.59118,0.34514,1.66337,1.48216,1.73503,0.000561055,0.000561055,0.000561055
27,1072.09,1.21658,1.36142,1.40377,0.58443,0.61075,0.57651,0.3593,1.62485,1.4687,1.69094,0.000539057,0.000539057,0.000539057
28,1110.42,1.20104,1.32851,1.38542,0.71295,0.58831,0.63134,0.37225,1.6078,1.39205,1.65945,0.000517059,0.000517059,0.000517059
29,1148.37,1.18503,1.30871,1.3888,0.6494,0.60776,0.61574,0.36992,1.63053,1.45107,1.69557,0.000495062,0.000495062,0.000495062
30,1186.35,1.15305,1.27096,1.36184,0.63508,0.63839,0.60803,0.35367,1.60691,1.41194,1.68484,0.000473064,0.000473064,0.000473064
31,1224.27,1.19283,1.30603,1.37624,0.67996,0.60161,0.613,0.36791,1.62699,1.41633,1.66198,0.000451066,0.000451066,0.000451066
32,1262.13,1.15258,1.2534,1.35669,0.65289,0.66635,0.64025,0.38317,1.65616,1.36042,1.7211,0.000429068,0.000429068,0.000429068
33,1300.03,1.1597,1.25792,1.35338,0.6867,0.61255,0.62455,0.37114,1.61381,1.37878,1.66275,0.00040707,0.00040707,0.00040707
