epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.5004,1.90638,3.00997,1.88368,0.29724,0.36202,0.21869,0.08846,2.03211,2.8956,2.13916,0.000367913,0.000367913,0.000367913
2,79.1509,1.85888,2.42203,1.83922,0.25719,0.37196,0.22618,0.09132,2.02432,2.834,2.12229,0.000723629,0.000723629,0.000723629
3,121.802,1.87522,2.40046,1.87063,0.34262,0.35835,0.25858,0.10468,2.0797,2.46213,2.17784,0.00106468,0.00106468,0.00106468
4,164.545,1.86587,2.35789,1.87742,0.37668,0.39737,0.31274,0.13392,1.90708,2.44525,2.0769,0.00104501,0.00104501,0.00104501
5,203.76,1.7995,2.2081,1.80976,0.41187,0.46125,0.38172,0.16464,1.86208,2.0987,1.99572,0.00102301,0.00102301,0.00102301
6,243.438,1.77179,2.11546,1.79793,0.44518,0.47347,0.42109,0.19119,1.81653,1.87997,1.93849,0.00100101,0.00100101,0.00100101
7,282.937,1.73232,2.05809,1.75673,0.47474,0.51316,0.47228,0.22653,1.76922,1.83809,1.89844,0.000979013,0.000979013,0.000979013
8,322.731,1.67818,1.95751,1.72484,0.44903,0.48876,0.42191,0.19939,1.73591,1.86547,1.88257,0.000957015,0.000957015,0.000957015
9,366.61,1.67857,1.95213,1.72051,0.4639,0.54759,0.47172,0.2274,1.73653,1.84823,1.87339,0.000935018,0.000935018,0.000935018
10,410.973,1.65941,1.87693,1.69476,0.52623,0.52821,0.50285,0.24652,1.69461,1.73323,1.84876,0.00091302,0.00091302,0.00091302
11,455.345,1.62758,1.84334,1.69588,0.46775,0.52853,0.46614,0.23178,1.7021,1.87596,1.8217,0.000891022,0.000891022,0.000891022
12,501.416,1.59862,1.77668,1.6527,0.53516,0.54126,0.51977,0.26279,1.69445,1.66822,1.83258,0.000869024,0.000869024,0.000869024
13,547.019,1.60898,1.77403,1.67135,0.54403,0.56983,0.5479,0.28007,1.64957,1.64349,1.81383,0.000847026,0.000847026,0.000847026
14,592.727,1.55748,1.67738,1.61836,0.51724,0.59088,0.53782,0.28454,1.6527,1.60513,1.80035,0.000825029,0.000825029,0.000825029
15,638.649,1.53377,1.68,1.60719,0.59632,0.57995,0.58878,0.31492,1.63719,1.46478,1.77496,0.000803031,0.000803031,0.000803031
16,684.516,1.52919,1.61759,1.61309,0.61443,0.60094,0.62077,0.33316,1.59308,1.41419,1.73936,0.000781033,0.000781033,0.000781033
17,730.199,1.51314,1.58677,1.59353,0.58723,0.61114,0.61909,0.3283,1.60364,1.44935,1.7402,0.000759035,0.000759035,0.000759035
18,774.977,1.49049,1.56126,1.57009,0.56651,0.6304,0.60156,0.30907,1.63181,1.42467,1.76303,0.000737037,0.000737037,0.000737037
19,817.005,1.46609,1.51731,1.54776,0.61243,0.63336,0.63909,0.35417,1.56394,1.40143,1.69473,0.00071504,0.00071504,0.00071504
20,857.101,1.46031,1.47198,1.54936,0.60422,0.64282,0.63728,0.35717,1.57095,1.3523,1.72899,0.000693042,0.000693042,0.000693042
21,897.127,1.43795,1.46752,1.54112,0.61706,0.6307,0.6385,0.35708,1.54293,1.36983,1.70367,0.000671044,0.000671044,0.000671044
22,936.98,1.41148,1.43407,1.51299,0.63266,0.64436,0.65363,0.37252,1.53334,1.28322,1.68652,0.000649046,0.000649046,0.000649046
23,976.897,1.40383,1.40197,1.50379,0.63823,0.65726,0.6813,0.39233,1.51,1.25627,1.66412,0.000627048,0.000627048,0.000627048
24,1016.83,1.41396,1.38272,1.51084,0.64033,0.66988,0.68626,0.3885,1.52528,1.23618,1.66821,0.000605051,0.000605051,0.000605051
25,1056.75,1.37583,1.34057,1.47902,0.67795,0.67229,0.70683,0.41401,1.51049,1.20903,1.66223,0.000583053,0.000583053,0.000583053
26,1096.96,1.37972,1.34709,1.48538,0.68088,0.67976,0.71717,0.4167,1.47743,1.15356,1.62875,0.000561055,0.000561055,0.000561055
27,1136.9,1.34186,1.29265,1.45232,0.66515,0.68018,0.71735,0.41638,1.51247,1.17582,1.66457,0.000539057,0.000539057,0.000539057
28,1176.82,1.32631,1.27551,1.44196,0.69676,0.67908,0.72665,0.42456,1.4741,1.14379,1.62469,0.000517059,0.000517059,0.000517059
29,1216.8,1.32564,1.25467,1.45255,0.68949,0.68122,0.72381,0.43321,1.44458,1.14128,1.60323,0.000495062,0.000495062,0.000495062
30,1256.66,1.30197,1.23445,1.43118,0.70607,0.70697,0.74575,0.44707,1.42335,1.08845,1.58875,0.000473064,0.000473064,0.000473064
31,1296.62,1.28542,1.21408,1.41255,0.69186,0.73953,0.74897,0.45664,1.40003,1.06442,1.56142,0.000451066,0.000451066,0.000451066
32,1336.61,1.28686,1.2032,1.41111,0.68788,0.72615,0.7407,0.44823,1.39621,1.11031,1.55417,0.000429068,0.000429068,0.000429068
33,1376.65,1.25546,1.15997,1.39837,0.71878,0.7005,0.75621,0.45912,1.40669,1.05692,1.56692,0.00040707,0.00040707,0.00040707
34,1416.87,1.23216,1.13779,1.3818,0.73383,0.75309,0.78244,0.48081,1.38814,1.0102,1.54722,0.000385073,0.000385073,0.000385073
