epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.2861,0.92339,2.39228,1.47737,0.47542,0.50735,0.38235,0.23872,1.0371,2.52832,1.79735,0.000367913,0.000367913,0.000367913
2,81.6027,0.95331,1.87559,1.49636,0.58929,0.46935,0.4468,0.25217,1.41888,2.89179,2.18727,0.000723629,0.000723629,0.000723629
3,121.682,0.99379,1.84467,1.53442,0.38858,0.49977,0.37141,0.20821,1.19918,2.04717,1.91044,0.00106468,0.00106468,0.00106468
4,161.744,0.96895,1.75297,1.51165,0.50561,0.62061,0.57034,0.34956,1.16661,1.68729,1.85739,0.00104501,0.00104501,0.00104501
5,201.761,0.89584,1.66076,1.45823,0.58933,0.56067,0.58275,0.33518,1.28392,1.6284,1.88835,0.00102301,0.00102301,0.00102301
6,241.845,0.88373,1.59172,1.44676,0.52951,0.63114,0.63265,0.43407,1.02418,1.45929,1.63251,0.00100101,0.00100101,0.00100101
7,282.146,0.86943,1.57202,1.43554,0.69115,0.71855,0.76089,0.55804,0.89661,1.13624,1.57557,0.000979013,0.000979013,0.000979013
8,322.221,0.81522,1.47495,1.38496,0.69007,0.68644,0.75377,0.54451,0.88262,1.29205,1.48791,0.000957015,0.000957015,0.000957015
9,362.264,0.79538,1.45916,1.37942,0.61713,0.64813,0.66881,0.48956,0.84887,1.41902,1.47845,0.000935018,0.000935018,0.000935018
10,402.27,0.78161,1.4138,1.36648,0.73817,0.73158,0.77352,0.55878,0.88309,1.14874,1.5144,0.00091302,0.00091302,0.00091302
11,442.404,0.76194,1.39354,1.36055,0.74506,0.75222,0.80008,0.60275,0.83022,1.03566,1.44293,0.000891022,0.000891022,0.000891022
12,482.376,0.74214,1.34431,1.33283,0.70179,0.71459,0.75268,0.55819,0.82936,1.17235,1.44733,0.000869024,0.000869024,0.000869024
13,522.282,0.72466,1.32445,1.32361,0.78186,0.75088,0.83783,0.64159,0.82089,0.91361,1.4636,0.000847026,0.000847026,0.000847026
14,562.343,0.73012,1.29857,1.32302,0.81023,0.74965,0.84232,0.64529,0.80128,0.97718,1.42488,0.000825029,0.000825029,0.000825029
15,602.522,0.70833,1.27847,1.30613,0.69269,0.74016,0.79004,0.60239,0.80239,1.11013,1.46711,0.000803031,0.000803031,0.000803031
16,642.454,0.71586,1.26892,1.31378,0.81176,0.78337,0.8488,0.66764,0.72845,0.89412,1.32448,0.000781033,0.000781033,0.000781033
17,682.472,0.68642,1.24255,1.29192,0.76827,0.79651,0.84811,0.6641,0.73917,0.8801,1.33763,0.000759035,0.000759035,0.000759035
18,722.434,0.68066,1.19685,1.28921,0.7498,0.78876,0.83081,0.66492,0.70749,0.92289,1.29473,0.000737037,0.000737037,0.000737037
19,762.348,0.67192,1.16975,1.27852,0.83091,0.7815,0.87549,0.69768,0.69751,0.8047,1.29418,0.00071504,0.00071504,0.00071504
